sgsv_by_taxon_id,full_scientific_name,species,species_epithet,infraspesific_epithet,genus,taxon_authority,vernacular_name,itis_tsn,accessions,seeds,seed_boxes,countries,continents,sgsv_taxon_id
1034407,Eruca sp.,Eruca sp.,sp.,,Eruca,,rocketsalad,,1,500,1,1,1,1697
1036038,Lablab sp,Lablab sp.,sp.,,Lablab,,lablab,,4,400,1,2,1,2362
1031168,Agrostis sp.,Agrostis sp.,sp.,,Agrostis,,bentgrass,,4,500,3,3,2,258
1032060,Basella sp.,Basella sp.,sp.,,Basella,,basella,,1,500,1,1,0,627
1031869,Atylosia sp.,Atylosia sp.,sp.,,Atylosia,,,,1,1000,1,1,1,6465
1031924,Avena nuda L.,Avena nuda,nuda,,Avena,L.,naked oat,506683,26,20360,7,8,2,546
1040232,S. orocense Ochoa,S. orocense,orocense,,S.,,,,2,580,2,1,1,6167
1042460,Vigna  subterranea,Vigna,,,Vigna,,,,189,58500,2,19,1,10925
1041251,Triticum  aestivum L.  var.pyrothrix,Triticum,,,Triticum,,,,4,2000,1,1,1,7857
1036594,Lotus sp.,Lotus sp.,sp.,,Lotus,,deervetch,,10,,2,4,3,2619
1036851,Malva alcea,Malva alcea,alcea,,Malva,L,vervain mallow,21833,1,500,1,1,1,2723
1037285,Mucuna sp.,Mucuna sp.,sp.,,Mucuna,,mucuna,,2,200,2,2,1,2956
1032024,Avena strigosa,Avena strigosa,strigosa,,Avena,Schreb,lopsided oat,193431,22,9650,4,6,4,611
1032908,Carum carvi,Carum carvi,carvi,,Carum,L,caraway,29610,37,16400,7,17,3,988
1034505,Faba bona Medic.,Faba bona,bona,,Faba,Medic.,,,24,6846,1,13,4,1740
1034698,Galium verum L.,Galium verum,verum,,Galium,L.,Yellow Spring bedstraw,34936,3,2000,3,3,1,1830
1035342,Hordeum v.,Hordeum v.,v.,,Hordeum,,,,5,6500,1,1,1,8157
1036843,Madia sp.,Madia sp.,sp.,,Madia,,,,1,,1,1,1,5461
1037609,O. sativa,O. sativa,sativa,,O.,,,,17,6800,1,5,3,9920
1039230,Silene sp.,Silene sp.,sp.,,Silene,,catchfly,,2,1000,1,2,2,3794
1030880,Adonis flammea Jacq.,Adonis flammea,flammea,,Adonis,,,,1,500,1,0,0,10405
1030984,Aegilops searsii,Aegilops searsii,searsii,,Aegilops,M Feldman & M Kislev,Sears' goatgrass,506693,6,2400,3,2,1,155
1032241,Brassica,Brassica,,,Brassica,L,mustard,23054,429,451380,1,1,1,11054
1032573,Brassica spp,Brassica spp,spp,,Brassica,,,,2,1000,1,1,1,5648
1033283,Corchorus hirtus,Corchorus hirtus,hirtus,,Corchorus,L,Orinoco jute,21515,1,500,1,1,1,9757
